,group,names,scores,logfoldchanges,pvals,pvals_adj
280,Floor,DCAF10,0.91695523,1.9529148,0.359166091592664,1.0
281,Floor,ACP1,0.9148473,1.0274706,0.36027179718986235,1.0
282,Floor,ARHGEF6,0.91273934,0.85109985,0.36137963713720134,1.0
283,Floor,FAM129A,0.91273934,1.8459572,0.36137963713720134,1.0
284,Floor,CREBL2,0.91273934,1.517513,0.36137963713720134,1.0
285,Floor,RECQL5,0.9043076,1.5785071,0.3658323238767912,1.0
286,Floor,POGLUT1,0.9043076,1.5785071,0.3658323238767912,1.0
287,Floor,FHIT,0.9043076,5.162806,0.3658323238767912,1.0
288,Floor,DNAJB9,0.9043076,1.5785071,0.3658323238767912,1.0
289,Floor,AHR,0.9043076,1.5785071,0.3658323238767912,1.0
290,Floor,LILRA6,0.9043076,5.162806,0.3658323238767912,1.0
291,Floor,SGMS2,0.9043076,5.162806,0.3658323238767912,1.0
292,Floor,PXDN,0.9043076,5.162806,0.3658323238767912,1.0
293,Floor,CPM,0.9043076,5.162806,0.3658323238767912,1.0
294,Floor,C1orf56,0.9043076,5.162806,0.3658323238767912,1.0
295,Floor,HLTF,0.89798373,1.5310321,0.3691942077605551,1.0
296,Floor,MRPL41,0.89798373,1.5310321,0.3691942077605551,1.0
297,Floor,COMMD7,0.89798373,1.4982202,0.3691942077605551,1.0
298,Floor,CERKL,0.89798373,1.5310321,0.3691942077605551,1.0
299,Floor,SNRPC,0.8958758,1.0095887,0.37031909154273834,1.0
300,Floor,NDUFB11,0.8958758,1.0095887,0.37031909154273834,1.0
301,Floor,SH3TC1,0.8916599,1.0603702,0.3725752370059847,1.0
302,Floor,LST1,0.8916599,1.4288791,0.3725752370059847,1.0
303,Floor,RPS3,0.889552,0.21944861,0.37370649667021294,1.0
304,Floor,DMXL2,0.887444,0.7573575,0.37483987957695086,1.0
305,Floor,USP40,0.8853361,1.4402848,0.375975384665737,1.0
306,Floor,TXNL4A,0.8832282,0.7887308,0.3771130108552474,1.0
307,Floor,FEZ2,0.8832282,0.75146466,0.3771130108552474,1.0
308,Floor,EPS8L1,0.8811202,4.5536423,0.37825275704327055,1.0
309,Floor,ZMIZ1,0.8811202,0.9291519,0.37825275704327055,1.0
310,Floor,SH2B3,0.8790123,0.54162467,0.37939462210668295,1.0
311,Floor,VPS13D,0.8790123,0.7374105,0.37939462210668295,1.0
312,Floor,HMGA2,0.8769043,4.160542,0.38053860490142666,1.0
313,Floor,M6PR,0.8769043,0.5963297,0.38053860490142666,1.0
314,Floor,RAD51AP1,0.8769043,4.160542,0.38053860490142666,1.0
315,Floor,SACM1L,0.8769043,1.4982202,0.38053860490142666,1.0
316,Floor,PPP1CA,0.8769043,0.991903,0.38053860490142666,1.0
317,Floor,CKAP4,0.8769043,4.160542,0.38053860490142666,1.0
318,Floor,EYA3,0.8769043,4.160542,0.38053860490142666,1.0
319,Floor,EFCAB4B,0.8769043,4.160542,0.38053860490142666,1.0
320,Floor,TRAPPC9,0.8769043,1.4982202,0.38053860490142666,1.0
321,Floor,GART,0.8769043,1.4982202,0.38053860490142666,1.0
322,Floor,FRAT2,0.8769043,4.160542,0.38053860490142666,1.0
323,Floor,ATP5A1,0.8769043,0.48636946,0.38053860490142666,1.0
324,Floor,TFPI,0.8769043,4.160542,0.38053860490142666,1.0
325,Floor,ARRDC4,0.8726884,3.7890737,0.3828329190038531,1.0
326,Floor,NDUFA11,0.8705805,1.4531366,0.38398324791853045,1.0
327,Floor,HCST,0.8705805,1.4531366,0.38398324791853045,1.0
328,Floor,SLAIN2,0.8705805,1.4531366,0.38398324791853045,1.0
329,Floor,C3orf17,0.8705805,1.4531366,0.38398324791853045,1.0
330,Floor,MSRB1,0.8705805,1.4531366,0.38398324791853045,1.0
331,Floor,SEPW1,0.8663646,1.6294101,0.3862902433346219,1.0
332,Floor,FBXW4,0.8642567,1.40934,0.3874469073167963,1.0
333,Floor,ZNF518B,0.8642567,1.40934,0.3874469073167963,1.0
334,Floor,KIAA0040,0.8642567,1.40934,0.3874469073167963,1.0
335,Floor,GANAB,0.8642567,1.3790059,0.3874469073167963,1.0
336,Floor,ING3,0.8642567,1.40934,0.3874469073167963,1.0
337,Floor,VCAN,0.8642567,1.8415534,0.3874469073167963,1.0
338,Floor,COPS2,0.8600408,1.5884348,0.3897665613731307,1.0
339,Floor,GAA,0.85793287,1.366757,0.3909295488014244,1.0
340,Floor,SLC25A6,0.85793287,0.3978463,0.3909295488014244,1.0
341,Floor,CUX1,0.8558249,0.3826774,0.3920946413639771,1.0
342,Floor,RAD21,0.85371697,0.5963408,0.39326183768495393,1.0
343,Floor,EML4,0.851609,1.0289412,0.3944311363673235,1.0
344,Floor,EIF3B,0.851609,0.8829213,0.3944311363673235,1.0
345,Floor,SEC16A,0.8495011,0.73098254,0.3956025359928368,1.0
346,Floor,CYP27A1,0.8495011,3.5733142,0.3956025359928368,1.0
347,Floor,CPEB3,0.8495011,3.5733142,0.3956025359928368,1.0
348,Floor,WDR27,0.8495011,3.5733142,0.3956025359928368,1.0
349,Floor,RIC8B,0.8495011,3.5733142,0.3956025359928368,1.0
350,Floor,CIPC,0.8495011,3.5733142,0.3956025359928368,1.0
351,Floor,DKFZP761J1410,0.8495011,3.5733142,0.3956025359928368,1.0
352,Floor,OAZ2,0.8495011,1.4219341,0.3956025359928368,1.0
353,Floor,RBM45,0.8495011,3.5733142,0.3956025359928368,1.0
354,Floor,HLX,0.8495011,3.5733142,0.3956025359928368,1.0
